Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,"31,2117101188109","30,4411424018121","30,7503904056004","30,9639473193137","30,4802123582236","30,0340777944734","29,9449967060874","28,8174002673837","28,4245318121735","28,5900635820649","28,4434099235655","28,2622633191826","28,3523656864837","27,9137913901676","28,2803523000636","28,5435706129353","28,9770134565483","28,9509916998839","28,9811756716526","29,4121256475823",,,
Afghanistan,"14,7","15,1","14,9",15,"15,2","15,2","15,1",15,15,"14,4","14,4","14,2","13,8",14,"14,1","14,4","14,8","15,1","14,2","15,9",,,
Africa Western and Central,"28,1901840782264","28,318843667817","28,423018192847","27,9273642703397","27,5072301728184","27,2170345401853","26,8079970697814","26,4922768105931","26,144547787881","26,2496891248105","26,2232538032273","24,9959850945568","24,4444369193691","24,4233595039881","24,439888103899","24,3529846644908","24,4811936933847","24,4653919969106","24,5193032052133","24,5891759835483",,,
Angola,"25,1","25,2","25,4","25,3","25,9","26,1","24,6","25,5",25,"27,3","25,8","25,4","23,2","22,4","23,2","23,6","24,7","25,5",26,"26,1",,,
Albania,"14,3","14,5","14,5","14,7","14,7","14,9","14,9","14,8","14,5","14,4","14,1","14,3","13,8","13,9","13,6","13,8","13,8","11,4",11,"11,7",,,
Andorra,,,,,,,,,,,,,,"7,6",,,,,,,,,
Arab World,"19,5703591767956","19,3746661657807","19,6763514743592","20,1639654933197","20,0406260476376","20,0941640720508","20,0783653378519","20,607804691077","20,8289828575668","20,5944281553339","20,6780920529113","20,1673711928245","19,3255771556374","19,1578998461484","20,0447073305235","20,1387992293212","19,9058576049184","19,7437574342507","20,1366329624166","20,1980807392041",,,
United Arab Emirates,16,"15,8","22,4","24,2","20,9","18,7","17,2","17,7",18,19,"19,4","19,1","17,9","17,6","17,8","18,1","17,9","13,3","11,3","8,9",,,
Argentina,"11,5","11,6","9,8","9,4","10,6","11,6","13,1","14,1","14,8","13,3","12,8","13,9","13,1","14,3","13,4","13,9","14,1",14,"13,6","14,1",,,
Armenia,"19,6","19,5","19,1","18,5","18,5","18,3","17,8","17,6","17,3","17,9",18,"17,7",17,"16,8","16,7","16,7","15,7","16,4","20,4",20,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,"9,2",13,"2,6","10,1","2,5",0,"2,4","7,2","11,2","6,3","5,4","8,8","0,7","1,7","0,6",0,0,0,0,0,,,
Australia,"9,9","9,3","9,1","8,5","8,2","8,3",8,"7,9","7,1","7,1","6,5","5,9","5,8","5,3","5,4","5,2","5,6","5,2","4,8","4,9",,,
Austria,"12,5","12,2","12,1","11,7",11,"9,6","9,1","8,6","8,4","7,8","6,8","6,4","6,4","5,5","5,1","5,7","5,2","4,9","4,8","4,9",,,
Azerbaijan,"8,2",10,"10,1","14,5","10,7","13,9","13,2","13,7","13,3","11,6","11,4","12,4",14,"13,8","13,2","10,3","8,7","8,5","8,1","6,7",,,
