data,fc
02/01/2023,0.06485
09/01/2023,0.06395
16/01/2023,0.06304
23/01/2023,0.0639
30/01/2023,0.06272
06/02/2023,0.0622
13/02/2023,0.06247
20/02/2023,0.0625
27/02/2023,0.06293
06/03/2023,0.06296
13/03/2023,0.06366
17/04/2023,0.06026
24/04/2023,0.06151
01/05/2023,0.06101
08/05/2023,0.06125
15/05/2023,0.05943
22/05/2023,0.05998
29/05/2023,0.06078
05/06/2023,0.05972
12/06/2023,0.05905
19/06/2023,0.05829
26/06/2023,0.05815
03/07/2023,0.05867
10/07/2023,0.05937
17/07/2023,0.05859
24/07/2023,0.05778
31/07/2023,0.05747
07/08/2023,0.05919
14/08/2023,0.0596
21/08/2023,0.05992
28/08/2023,0.05894
04/09/2023,0.05968
