Ano,Média
1970,2.96
1971,3.17
1972,3.22
1973,4.08
1974,12.52
1975,13.95
1976,13.48
1977,14.53
1978,14.57
1979,21.57
1980,33.86
1981,37.1
1982,33.57
1983,29.31
1984,28.88
1985,26.99
1986,13.93
1987,18.14
1988,14.6
1989,18.07
1990,21.73
1991,18.73
1992,18.21
1993,16.13
1994,15.54
1995,17.14
1996,20.62
1997,18.49
1998,12.07
1999,17.27
2000,27.72
2001,21.99
2002,23.71
2003,27.73
2004,35.89
2005,48.89
2006,59.05
2007,67.19
2008,92.57
2009,59.04
2010,75.83
2011,102.58
2012,101.09
2013,98.12
2014,89.63
2015,46.34
2016,38.7
2017,48.98
2018,61.34
2019,57.94
2020,37.24
