Mês,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,78.326,76.387,81.203,84.293,73.744,75.336,76.32,76.599,75.242,81.893,84.253,89.146
2,89.17,88.578,102.857,109.532,100.9,96.264,97.304,86.333,85.515,86.322,97.16,98.563
3,100.274,102.204,106.158,103.321,94.655,82.303,87.895,94.131,94.514,89.491,86.531,87.86
4,94.757,95.309,92.938,92.021,94.51,95.772,104.671,106.573,106.29,100.538,93.864,97.625
5,94.617,100.817,100.804,102.069,102.177,105.794,103.589,96.536,93.212,84.397,75.789,59.29
6,47.219,50.584,47.824,54.453,59.265,59.82,50.901,42.868,45.48,46.224,42.444,37.189
7,31.683,30.323,37.546,40.755,46.712,48.757,44.651,44.724,45.182,49.775,45.661,51.97
8,52.504,53.468,49.328,51.061,48.476,45.178,46.631,48.037,49.822,51.578,56.639,57.881
9,63.699,62.229,62.725,66.254,69.978,67.873,70.981,68.056,70.232,70.749,56.963,49.523
10,51.376,54.955,58.151,63.862,60.827,54.657,57.358,54.806,56.947,53.963,57.049,59.817
11,57.519,50.548,30.483,19.67,28.506,38.332,40.772,42.409,39.646,39.576,41.368,47.085
12,52.107,59.071,62.36,61.716,65.153,71.322,72.538,67.693,71.431,81.171,78.605,71.869
