dia,2021,a2021,2022,a2022
1,15.600000000000001,15.600000000000001,4.4,4.4
2,0.4,16.0,4.6,9.0
3,0.0,16.0,1.0,10.0
4,4.800000000000001,20.8,0.0,10.0
5,0.0,20.8,0.0,10.0
6,0.0,20.8,0.0,10.0
7,0.0,20.8,0.0,10.0
8,0.0,20.8,0.0,10.0
9,0.0,20.8,0.0,10.0
10,0.0,20.8,0.0,10.0
11,0.8,21.6,32.2,42.2
12,0.2,21.8,0.6000000000000001,42.800000000000004
13,0.0,21.8,15.200000000000001,58.00000000000001
14,0.0,21.8,17.4,75.4
15,0.0,21.8,0.0,75.4
16,0.0,21.8,0.0,75.4
17,0.0,21.8,0.0,75.4
18,14.600000000000001,36.400000000000006,0.0,75.4
19,0.4,36.800000000000004,0.0,75.4
20,0.2,37.00000000000001,0.0,75.4
21,0.0,37.00000000000001,0.0,75.4
22,0.0,37.00000000000001,5.2,80.60000000000001
23,0.0,37.00000000000001,17.999999999999996,98.60000000000001
24,0.0,37.00000000000001,0.0,98.60000000000001
25,0.0,37.00000000000001,0.0,98.60000000000001
26,1.0,38.00000000000001,8.600000000000001,107.20000000000002
27,0.0,38.00000000000001,8.799999999999999,116.00000000000001
28,0.0,38.00000000000001,26.2,142.20000000000002
29,0.0,38.00000000000001,31.800000000000004,174.00000000000003
30,0.0,38.00000000000001,18.0,192.00000000000003
